Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,Band Gap
Be13W,Cubic,Fd-3m,227,56,1.055432907,0.958757135,FALSE,653.7950408,3.057958624,FALSE,TRUE,NM,0.0220505,0
Be13Mo,Cubic,Fd-3m,227,56,1.033607526,0.914931994,FALSE,647.8215723,2.184911259,FALSE,TRUE,NM,0.0130872,0
Be13W,Cubic,Fd-3m,227,56,0.963454192,0.866778421,FALSE,633.5819644,3.155516248,FALSE,TRUE,FM,0.8740444,0
Be13Re,Cubic,Fd-3m,227,56,0.859245222,0.764125721,FALSE,618.9473359,3.255527652,FALSE,TRUE,NM,0.6197143,0
Be13Tc,Cubic,Fd-3m,227,56,0.79921477,0.723051038,FALSE,617.9184729,2.312789715,FALSE,TRUE,FM,0.9681826,0
Be13Mo,Cubic,Fd-3m,227,56,0.939432176,0.820756644,FALSE,629.9208055,2.247000948,FALSE,TRUE,FM,4.0109702,0
Be17Os3,Cubic,Im-3,204,80,0,-0.272508577,TRUE,717.0978616,6.70513451,FALSE,TRUE,NM,7.00E-07,0
Be17Ru3,Cubic,Im-3,204,80,0,-0.277945205,TRUE,715.8890874,4.234725343,FALSE,TRUE,NM,3.00E-07,0
Be22Mo,Cubic,Fd-3m,227,46,0.019973117,-0.052264163,FALSE,387.5807172,2.520991694,FALSE,TRUE,NM,1.29E-05,0
Be22W,Cubic,Fd-3m,227,46,0.017619142,-0.04122698,FALSE,387.2386334,3.277076271,FALSE,TRUE,NM,6.40E-06,0
Be22Re,Cubic,Fd-3m,227,46,0,-0.064764948,TRUE,380.3673782,3.356942792,FALSE,TRUE,NM,1.10E-06,0
