Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,Band Gap
Te2Ru,Cubic,Pa-3,205,12,0.011694903,-0.39442386,FALSE,266.9397355,8.864926043,FALSE,FALSE,NM,0,0.1141
Te2Os,Cubic,Pa-3,205,12,0,-0.159073922,TRUE,266.9662306,11.08235922,FALSE,TRUE,NM,2.00E-07,0
MnTe2,Cubic,Pa-3,205,12,0,-0.422639708,TRUE,342.9112737,6.007342182,FALSE,TRUE,FM,19.9118944,0
MgTe2,Cubic,Pa-3,205,12,0,-0.849417595,TRUE,356.0161089,5.214696304,FALSE,FALSE,NM,0,1.1162
Te2Rh,Cubic,Pa-3,205,12,0.000429536,-0.439410514,FALSE,274.7963661,8.6558375,FALSE,TRUE,NM,1.00E-07,0
In2Te3,Cubic,F-43m,216,45,0.041919755,-0.404679444,FALSE,1707.830295,5.359294282,FALSE,TRUE,NM,0.1992795,0
SnTe3,Cubic,Fm-3m,225,4,0.113961007,-0.018563933,FALSE,115.1339221,7.23311542,FALSE,TRUE,NM,0.0024959,0
Te3Pd5,Cubic,Fd-3m,227,16,0.557620818,0.226210042,FALSE,426.5233001,7.123771159,FALSE,FALSE,NM,0.0042975,0.0178
Te3Pd10,Cubic,Fd-3m,227,26,0.152957218,-0.100560525,FALSE,505.982829,9.497555616,FALSE,TRUE,NM,0.0715379,0
Te3Pd13,Cubic,Fd-3m,227,32,0,-0.212809385,TRUE,524.8098577,11.17716708,FALSE,TRUE,NM,1.00E-06,0
LiTe3,Cubic,Im-3m,229,48,0,-0.697007519,TRUE,1435.547476,5.409895534,FALSE,FALSE,NM,0.0002376,0.2237
AgTe3,Cubic,Im-3m,229,4,0.018577228,-0.017118974,FALSE,113.8823704,7.154520159,FALSE,TRUE,NM,0,0
U3Te4,Cubic,I-43d,220,14,0.038036498,-1.070986164,FALSE,426.6846267,9.530730308,FALSE,TRUE,FM,19.9681518,0
Pr3Te4,Cubic,I-43d,220,14,0.011497426,-1.692801774,FALSE,444.8147824,6.966886775,FALSE,TRUE,NM,4.00E-07,0
Nd3Te4,Cubic,I-43d,220,14,0.036054504,-1.676373579,FALSE,436.7210212,7.172073207,FALSE,TRUE,NM,2.90E-06,0
Ce3Te4,Cubic,I-43d,220,14,0,-1.64404581,TRUE,453.7224538,6.812726159,FALSE,TRUE,FM,8,0
Np3Te4,Cubic,I-43d,220,14,0,-0.954766138,TRUE,429.2958994,9.448878588,FALSE,TRUE,FM,26.0009753,0
Sm3Te4,Cubic,I-43d,220,14,0.05075951,-1.625255551,FALSE,424.2517133,7.526546396,FALSE,TRUE,NM,1.00E-07,0
La3Te4,Cubic,I-43d,220,14,0,-1.84530965,TRUE,457.1403977,6.735405691,FALSE,TRUE,NM,1.10E-05,0
Te5Pd21,Cubic,F-43m,216,26,0.224516658,0.007184123,FALSE,495.5069934,9.627371369,FALSE,TRUE,NM,0.0075123,0
